enrollment_no,student_name,gender,age,section,course,year_enrollment,year_completion,hometown,category,father_occupation,mother_occupation,marks_10th,marks_12th,attendance,sgpa,cgpa,backlogs,suspension,family_income,fees_status,year_level,department,fees_flag,suspension_flag,age_at_enrollment,sgpa1,sgpa2,sgpa3,sgpa4,sgpa5,year,specialization,sgpa6,sgpa7,enrollment_no.,model_phase,final_phase,red_reason,ml_probability,rule_override,predicted_phase
BBA2023B002,Sakshi Bhati,F,21,B,B.B.A.,2023,2026,Ganganagar,General,Laborer,Homemaker,32.12,38.83,78.69,,7.76,4,No,100000,Partial,3,BBA,1,0,19,7.63,7.14,8.3,7.69,8.03,,,,,,Orange,Orange,,0.4763866097913778,False,Orange
BBA2023B003,Rohit Singh,M,20,B,B.B.A.,2023,2026,Kishangarh,General,Laborer,Homemaker,71.79,39.2,50.61,,6.07,0,No,300000,Partial,3,BBA,1,0,18,5.96,6.31,6.03,5.98,6.05,,,,,,Orange,Orange,,0.6059525068551956,False,Orange
BBA2023B004,Kavita Singh,F,20,B,B.B.A.,2023,2026,Pratapgarh,General,Businessman,Homemaker,92.12,52.19,57.22,,7.16,3,No,1300000,Paid,3,BBA,0,0,18,8.21,6.91,7.98,6.43,6.25,,,,,,Orange,Orange,,0.5866593915896757,False,Orange
BBA2023B005,Ramesh Lodha,M,22,B,B.B.A.,2023,2026,Tonk,OBC,Laborer,Homemaker,76.11,97.93,86.99,,8.27,0,No,100000,Partial,3,BBA,1,0,20,7.57,9.18,7.68,9.31,7.61,,,,,,Green,Green,,0.036446249650372485,False,Green
BBA2023B006,Sakshi Bhati,F,21,B,B.B.A.,2023,2026,Ajmer,OBC,Doctor,Homemaker,42.52,16.62,46.08,,5.56,0,No,1000000,Paid,3,BBA,0,0,19,6.3,4.81,5.5,5.78,5.41,,,,,,Orange,Orange,,0.762824452416226,False,Orange
BBA2023B007,Anjali Verma,F,20,B,B.B.A.,2023,2026,Jaipur,General,Laborer,Homemaker,96.77,54.15,89.03,,8.08,3,No,200000,Partial,3,BBA,1,0,18,8.24,8.24,8.83,7.09,8.0,,,,,,Green,Green,,0.11402195046682964,False,Green
BBA2023B008,Arjun Sharma,M,20,B,B.B.A.,2023,2026,Banswara,General,Businessman,Farmer,85.91,98.76,56.46,,6.72,6,Yes,1500000,Paid,3,BBA,0,1,18,7.14,6.73,7.15,6.84,5.74,,,,,,Orange,Orange,,0.4604155562781644,False,Orange
BBA2023B009,Praveen Soni,M,21,B,B.B.A.,2023,2026,Pushkar,OBC,Laborer,Homemaker,74.61,88.81,27.96,,5.2,0,No,200000,Partial,3,BBA,1,0,19,5.07,4.74,6.04,5.16,4.99,,,,,,Orange,Red,Forced Red due to critical safety threshold: Attendance <30%,0.6950604307236328,True,Red
BBA2023B010,Sneha Meena,F,20,B,B.B.A.,2023,2026,Sawai Madhopur,EWS,Laborer,Homemaker,52.33,73.32,76.73,,7.83,5,No,200000,Partial,3,BBA,1,0,18,8.01,7.89,7.87,7.44,7.93,,,,,,Orange,Orange,,0.6193876385338707,False,Orange
BBA2023B011,Sakshi Bhati,F,20,B,B.B.A.,2023,2026,Bhilwara,General,Teacher,Homemaker,57.65,35.65,68.59,,7.78,0,No,600000,Paid,3,BBA,0,0,18,7.68,7.75,7.68,8.02,7.79,,,,,,Orange,Orange,,0.6592134141842235,False,Orange
BBA2023B012,Deepak Jat,M,20,B,B.B.A.,2023,2026,Kota,General,Laborer,Homemaker,77.22,92.5,63.09,,6.56,5,No,200000,Partial,3,BBA,1,0,18,7.16,6.1,6.1,6.64,6.81,,,,,,Orange,Orange,,0.5797517215325445,False,Orange
BBA2023B013,Rahul Bhati,M,20,B,B.B.A.,2023,2026,Nawalgarh,General,Businessman,Homemaker,37.75,69.79,66.14,,6.54,4,No,1400000,Paid,3,BBA,0,0,18,7.81,5.3,6.35,6.85,6.37,,,,,,Yellow,Yellow,,0.40948745013660814,False,Yellow
BBA2023B014,Yashoda Khichar,F,20,B,B.B.A.,2023,2026,Dausa,OBC,Doctor,Homemaker,49.94,90.32,85.59,,7.94,4,No,2200000,Paid,3,BBA,0,0,18,7.66,7.84,7.57,7.67,8.95,,,,,,Orange,Orange,,0.3800970049862449,False,Orange
BBA2023B015,Ramesh Lodha,M,21,B,B.B.A.,2023,2026,Nagaur,General,Laborer,Homemaker,43.36,47.26,93.42,,8.99,0,No,61346,Partial,3,BBA,1,0,19,8.97,9.06,8.58,9.21,9.11,,,,,,Green,Green,,0.03267000835421887,False,Green
BBA2023B016,Yashoda Khichar,F,20,B,B.B.A.,2023,2026,Jaipur,OBC,Doctor,Homemaker,64.68,87.98,81.34,,7.89,0,No,1900000,Paid,3,BBA,0,0,18,8.24,7.49,7.62,8.52,7.57,,,,,,Green,Green,,0.22688991614792525,False,Green
BBA2023B017,Arjun Sharma,M,20,B,B.B.A.,2023,2026,Bikaner,General,Doctor,Homemaker,59.56,79.08,69.71,,7.13,6,Yes,1500000,Paid,3,BBA,0,1,18,6.41,6.86,8.12,6.86,7.38,,,,,,Yellow,Yellow,,0.4196756456696372,False,Yellow
BBA2023B018,Meera Rathore,F,20,B,B.B.A.,2023,2026,Hanumangarh,General,Farmer,Homemaker,43.0,52.23,88.81,,8.26,6,Yes,300000,Partial,3,BBA,1,1,18,7.96,8.79,8.65,7.43,8.49,,,,,,Orange,Orange,,0.48544995328018703,False,Orange
BBA2023B019,Kavita Singh,F,20,B,B.B.A.,2023,2026,Ganganagar,OBC,Doctor,Homemaker,62.16,55.19,76.06,,7.55,0,No,1700000,Paid,3,BBA,0,0,18,6.55,7.23,7.56,8.67,7.75,,,,,,Orange,Orange,,0.6369995410612969,False,Orange
BBA2023B020,Sneha Meena,F,20,B,B.B.A.,2023,2026,Bhilwara,General,Laborer,Homemaker,37.06,48.65,71.69,,7.32,7,Yes,200000,Partial,3,BBA,1,1,18,6.84,7.11,7.86,6.85,7.96,,,,,,Orange,Orange,,0.49238626990285356,False,Orange
BBA2023B021,Ashok Kumawat,M,20,B,B.B.A.,2023,2026,Tonk,General,Farmer,Homemaker,50.42,34.32,76.9,,6.93,0,No,400000,Partial,3,BBA,1,0,18,7.3,7.06,7.32,6.64,6.31,,,,,,Yellow,Yellow,,0.2595920035321952,False,Yellow
BBA2023B022,Anjali Verma,F,21,B,B.B.A.,2023,2026,Nathdwara,EWS,Doctor,Homemaker,21.16,49.09,60.28,,6.9,0,No,1100000,Paid,3,BBA,0,0,19,6.57,6.58,6.77,6.56,8.01,,,,,,Yellow,Yellow,,0.20939446459532893,False,Yellow
BBA2023B023,Suraj Kothari,M,19,B,B.B.A.,2023,2026,Hanumangarh,General,Businessman,Homemaker,46.03,45.89,75.13,,7.18,6,Yes,1100000,Paid,3,BBA,0,1,17,7.61,6.68,6.84,7.51,7.25,,,,,,Yellow,Yellow,,0.44681632823551615,False,Yellow
BBA2023B024,Nisha Malik,F,19,B,B.B.A.,2023,2026,Bhilwara,OBC,Laborer,Farmer,97.19,89.36,86.62,,8.12,0,No,100000,Partial,3,BBA,1,0,17,7.46,8.16,8.17,9.15,7.65,,,,,,Green,Green,,0.011984322820037105,False,Green
BBA2023B025,Ashok Kumawat,M,20,B,B.B.A.,2023,2026,Nawalgarh,General,Laborer,Farmer,39.73,44.41,44.57,,5.66,5,No,200000,Partial,3,BBA,1,0,18,5.42,6.63,5.87,5.12,5.25,,,,,,Orange,Orange,,0.4303136607295279,False,Orange
BBA2023B026,Sandeep Meena,M,20,B,B.B.A.,2023,2026,Bikaner,OBC,Engineer,Homemaker,40.91,68.92,65.61,,6.94,7,Yes,700000,Paid,3,BBA,0,1,18,6.21,6.98,7.56,7.92,6.04,,,,,,Yellow,Yellow,,0.36214860903985463,False,Yellow
BBA2023B027,Bhavya Soni,F,22,B,B.B.A.,2023,2026,Alwar,EWS,Laborer,Homemaker,54.17,33.53,77.45,,7.46,4,No,200000,Partial,3,BBA,1,0,20,8.17,7.75,7.49,7.4,6.49,,,,,,Orange,Orange,,0.7646976190926569,False,Orange
BBA2023B028,Sandeep Meena,M,19,B,B.B.A.,2023,2026,Kishangarh,OBC,Teacher,Homemaker,90.26,39.28,38.49,,4.97,0,No,700000,Paid,3,BBA,0,0,17,5.69,4.52,4.86,5.56,4.22,,,,,,Orange,Orange,,0.6930604307236329,False,Orange
BBA2023B029,Anjali Verma,F,22,B,B.B.A.,2023,2026,Pratapgarh,OBC,Businessman,Homemaker,48.35,36.58,72.61,,7.29,0,No,900000,Paid,3,BBA,0,0,20,6.56,8.09,7.43,6.96,7.43,,,,,,Yellow,Yellow,,0.375354818414598,False,Yellow
BBA2023B030,Shweta Chauhan,F,20,B,B.B.A.,2023,2026,Udaipur,General,Farmer,Homemaker,73.11,80.88,88.56,,8.35,0,No,400000,Partial,3,BBA,1,0,18,8.72,8.99,7.65,7.7,8.68,,,,,,Green,Green,,0.005567035905271199,False,Green
BBA2023B031,Sapna Jat,F,21,B,B.B.A.,2023,2026,Beawar,General,Laborer,Homemaker,59.58,38.35,59.24,,6.33,5,No,100000,Partial,3,BBA,1,0,19,6.94,5.75,5.96,6.44,6.57,,,,,,Yellow,Yellow,,0.4876316797905172,False,Yellow
BBA2023B032,Rohit Singh,M,20,B,B.B.A.,2023,2026,Churu,General,Doctor,Farmer,46.72,80.29,77.15,,7.25,0,Yes,1000000,Paid,3,BBA,0,1,18,7.66,6.81,7.65,7.2,6.93,,,,,,Yellow,Yellow,,0.26590465903432015,False,Yellow
BBA2023B033,Suraj Kothari,M,21,B,B.B.A.,2023,2026,Sawai Madhopur,General,Laborer,Homemaker,86.68,49.48,60.77,,6.65,4,No,88046,Partial,3,BBA,1,0,19,6.64,6.58,7.13,6.13,6.79,,,,,,Orange,Orange,,0.5641979217743298,False,Orange
BBA2023B034,Neha Yadav,F,20,B,B.B.A.,2023,2026,Banswara,General,Laborer,Homemaker,82.03,90.93,87.22,,8.2,0,No,100000,Partial,3,BBA,1,0,18,7.29,8.07,8.51,8.56,8.57,,,,,,Green,Green,,0.010750709374658952,False,Green
BBA2023B035,Rajat Dugar,M,20,B,B.B.A.,2023,2026,Pratapgarh,General,Laborer,Homemaker,76.67,86.67,60.94,,6.93,4,No,100000,Partial,3,BBA,1,0,18,7.14,6.39,6.95,7.78,6.38,,,,,,Orange,Orange,,0.5277266569946083,False,Orange
BBA2023B036,Vikas Rathore,M,21,B,B.B.A.,2023,2026,Ajmer,General,Teacher,Homemaker,48.6,96.22,55.08,,6.54,6,Yes,600000,Paid,3,BBA,0,1,19,7.13,6.83,6.15,6.2,6.38,,,,,,Orange,Orange,,0.4589374937490183,False,Orange
BBA2023B037,Suraj Kothari,M,21,B,B.B.A.,2023,2026,Sumerpur,General,Laborer,Homemaker,25.94,27.45,74.82,,7.41,6,Yes,200000,Partial,3,BBA,1,1,19,7.98,7.73,7.2,6.24,7.89,,,,,,Orange,Orange,,0.4673053635011989,False,Orange
BBA2023B038,Ashok Kumawat,M,20,B,B.B.A.,2023,2026,Ajmer,General,Businessman,Homemaker,71.03,94.6,68.62,,6.57,3,No,900000,Paid,3,BBA,0,0,18,5.96,6.3,6.88,6.39,7.31,,,,,,Yellow,Yellow,,0.36002875752592334,False,Yellow
BBA2023B039,Bhavya Soni,F,20,B,B.B.A.,2023,2026,Banswara,General,Businessman,Homemaker,69.54,89.68,69.97,,6.99,0,No,2100000,Paid,3,BBA,0,0,18,7.02,7.67,6.23,6.8,7.2,,,,,,Yellow,Yellow,,0.18275168096525968,False,Yellow
BBA2023B040,Suresh Meghwal,M,20,B,B.B.A.,2023,2026,Phalodi,General,Farmer,Homemaker,28.1,18.66,69.52,,7.15,0,No,400000,Partial,3,BBA,1,0,18,7.2,7.59,6.62,6.89,7.48,,,,,,Yellow,Yellow,,0.11155418283554173,False,Yellow
BBA2023C001,Sneha Meena,F,21,C,B.B.A.,2023,2026,Udaipur,General,Engineer,Farmer,36.08,42.26,67.09,,6.7,0,No,1600000,Paid,3,BBA,0,0,19,5.71,7.26,7.48,6.23,6.84,,,,,,Yellow,Yellow,,0.09951128989940722,False,Yellow
BBA2023C002,Rajat Dugar,M,20,C,B.B.A.,2023,2026,Jodhpur,General,Businessman,Homemaker,38.33,50.93,98.63,,9.4,2,No,1300000,Paid,3,BBA,0,0,18,9.5,9.31,9.19,9.5,9.5,,,,,,Green,Green,,0.05841629666220556,False,Green
BBA2023C003,Deepak Jat,M,20,C,B.B.A.,2023,2026,Ganganagar,General,Laborer,Homemaker,98.52,47.04,53.33,,6.14,1,No,100000,Partial,3,BBA,1,0,18,6.21,5.96,6.79,6.09,5.64,,,,,,Orange,Orange,,0.503516512175996,False,Orange
BBA2023C004,Deepak Jat,M,21,C,B.B.A.,2023,2026,Sawai Madhopur,General,Laborer,Homemaker,44.66,37.4,85.27,,7.87,7,Yes,100000,Partial,3,BBA,1,1,19,7.79,8.3,7.85,7.89,7.5,,,,,,Orange,Orange,,0.569671995508135,False,Orange
BBA2023C005,Ramesh Lodha,M,22,C,B.B.A.,2023,2026,Pushkar,General,Businessman,Homemaker,93.85,66.24,53.44,,6.28,0,No,1200000,Paid,3,BBA,0,0,20,7.07,6.0,5.78,5.84,6.69,,,,,,Orange,Orange,,0.5165917978303567,False,Orange
BBA2023C006,Arjun Sharma,M,21,C,B.B.A.,2023,2026,Churu,General,Businessman,Homemaker,47.63,16.77,32.48,,4.91,3,No,900000,Paid,3,BBA,0,0,19,5.29,4.65,4.97,5.11,4.53,,,,,,Orange,Orange,,0.581028018432579,False,Orange
BBA2023C007,Pallavi Chouhan,F,21,C,B.B.A.,2023,2026,Devgarh,OBC,Laborer,Farmer,96.4,95.88,69.73,,7.07,1,No,200000,Partial,3,BBA,1,0,19,6.26,7.49,6.79,7.45,7.38,,,,,,Yellow,Yellow,,0.19110346654039778,False,Yellow
BBA2023C008,Praveen Soni,M,21,C,B.B.A.,2023,2026,Jodhpur,General,Engineer,Homemaker,42.42,59.72,66.17,,6.64,0,No,1500000,Paid,3,BBA,0,0,19,7.0,6.71,6.59,6.29,6.6,,,,,,Yellow,Yellow,,0.05312801673431638,False,Yellow
BBA2023C009,Ramesh Lodha,M,20,C,B.B.A.,2023,2026,Pratapgarh,General,Doctor,Farmer,66.6,66.42,71.59,,7.87,0,No,2300000,Paid,3,BBA,0,0,18,7.64,8.13,8.05,7.38,8.13,,,,,,Orange,Orange,,0.5078148891503601,False,Orange
BBA2023C010,Rajat Dugar,M,20,C,B.B.A.,2023,2026,Dausa,General,Laborer,Homemaker,87.76,97.12,41.88,,5.43,2,No,300000,Partial,3,BBA,1,0,18,5.33,4.74,6.67,5.83,4.59,,,,,,Orange,Orange,,0.7744827978302103,False,Orange
BBA2023C011,Nikhil Beniwal,M,21,C,B.B.A.,2023,2026,Ajmer,General,Doctor,Homemaker,56.09,51.23,65.94,,7.28,2,No,1400000,Paid,3,BBA,0,0,19,7.89,6.51,6.64,7.57,7.77,,,,,,Yellow,Yellow,,0.11159048641641188,False,Yellow
BBA2023C012,Pallavi Chouhan,F,20,C,B.B.A.,2023,2026,Beawar,General,Teacher,Businesswoman,61.04,85.3,90.49,,8.47,2,No,900000,Paid,3,BBA,0,0,18,7.83,9.31,8.95,7.95,8.28,,,,,,Green,Green,,0.04821085704800875,False,Green
BBA2023C013,Vikas Rathore,M,22,C,B.B.A.,2023,2026,Pali,General,Engineer,Homemaker,41.46,47.87,86.51,,8.51,5,No,900000,Paid,3,BBA,0,0,20,9.1,7.25,9.02,8.7,8.5,,,,,,Yellow,Yellow,,0.31382872870259937,False,Yellow
BBA2023C014,Ajay Sharma,M,20,C,B.B.A.,2023,2026,Kishangarh,General,Teacher,Homemaker,28.4,28.05,85.65,,8.65,0,No,700000,Paid,3,BBA,0,0,18,8.22,9.32,9.41,7.77,8.51,,,,,,Green,Green,,0.03053701602685314,False,Green
BBA2023C015,Rohit Singh,M,20,C,B.B.A.,2023,2026,Sumerpur,General,Laborer,Homemaker,73.89,49.74,85.66,,8.18,0,No,300000,Partial,3,BBA,1,0,18,9.26,7.67,8.29,8.74,6.93,,,,,,Green,Green,,0.03774295294707578,False,Green
BBA2023C016,Rita Lodha,F,22,C,B.B.A.,2023,2026,Khichan,General,Laborer,Homemaker,77.59,91.33,95.3,,8.56,4,No,300000,Partial,3,BBA,1,0,20,9.22,8.06,8.83,9.4,7.28,,,,,,Yellow,Yellow,,0.05235811499424946,False,Yellow
BBA2023C017,Rajat Dugar,M,21,C,B.B.A.,2023,2026,Pali,General,Laborer,Homemaker,84.3,70.06,88.83,,8.82,4,No,100000,Partial,3,BBA,1,0,19,8.8,9.5,8.01,8.68,9.13,,,,,,Green,Green,,0.17580601539106627,False,Green
BBA2023C018,Neha Yadav,F,20,C,B.B.A.,2023,2026,Bhilwara,OBC,Engineer,Businesswoman,69.74,45.27,90.74,,8.55,0,No,1400000,Paid,3,BBA,0,0,18,7.49,8.9,9.06,8.83,8.5,,,,,,Green,Green,,0.0047507093746589546,False,Green
BBA2023C019,Rahul Bhati,M,21,C,B.B.A.,2023,2026,Nathdwara,OBC,Businessman,Homemaker,75.62,47.81,83.61,,7.92,0,No,2800000,Paid,3,BBA,0,0,19,7.42,8.85,8.04,7.47,7.83,,,,,,Green,Green,,0.22843234470661733,False,Green
BBA2023C020,Sapna Jat,F,21,C,B.B.A.,2023,2026,Karauli,General,Farmer,Homemaker,33.89,65.59,53.25,,6.16,0,No,300000,Partial,3,BBA,1,0,19,6.42,5.26,6.21,5.94,7.0,,,,,,Orange,Orange,,0.5194925610978557,False,Orange
BBA2023C021,Shweta Chauhan,F,20,C,B.B.A.,2023,2026,Sawai Madhopur,EWS,Businessman,Teacher,43.7,96.47,58.25,,6.13,1,No,1800000,Paid,3,BBA,0,0,18,5.37,7.06,7.35,5.39,5.46,,,,,,Yellow,Yellow,,0.3692821399582093,False,Yellow
BBA2023C022,Priya Dugar,F,20,C,B.B.A.,2023,2026,Sawai Madhopur,General,Businessman,Homemaker,98.0,83.8,93.16,,8.65,6,Yes,2400000,Paid,3,BBA,0,1,18,9.5,8.05,9.5,7.51,8.69,,,,,,Yellow,Yellow,,0.30743878617552534,False,Yellow
BBA2023C023,Rajat Dugar,M,21,C,B.B.A.,2023,2026,Churu,General,Engineer,Homemaker,47.0,22.45,65.89,,7.02,3,No,1900000,Paid,3,BBA,0,0,19,6.94,6.83,7.23,7.27,6.85,,,,,,Yellow,Yellow,,0.39486809872665696,False,Yellow
BBA2023C024,Arjun Sharma,M,22,C,B.B.A.,2023,2026,Devgarh,General,Laborer,Homemaker,25.35,15.7,51.01,,6.23,0,Yes,100000,Partial,3,BBA,1,1,20,5.45,6.69,6.44,6.13,6.42,,,,,,Orange,Orange,,0.6689503196813447,False,Orange
BBA2023C025,Karan Yadav,M,20,C,B.B.A.,2023,2026,Banswara,General,Businessman,Homemaker,44.62,69.25,57.45,,6.55,0,No,2500000,Paid,3,BBA,0,0,18,6.91,5.99,6.78,6.12,6.93,,,,,,Yellow,Yellow,,0.3329919953641502,False,Yellow
BBA2023C026,Ajay Sharma,M,22,C,B.B.A.,2023,2026,Sawai Madhopur,OBC,Teacher,Homemaker,80.3,82.39,71.31,,7.24,5,No,600000,Paid,3,BBA,0,0,20,7.16,7.65,7.02,7.68,6.69,,,,,,Yellow,Yellow,,0.4683367021015124,False,Yellow
BBA2023C027,Praveen Soni,M,22,C,B.B.A.,2023,2026,Banswara,General,Laborer,Businesswoman,79.6,84.74,81.25,,8.29,0,No,100000,Partial,3,BBA,1,0,20,7.9,8.46,8.16,7.99,8.96,,,,,,Green,Green,,0.025799896445859182,False,Green
BBA2023C028,Nikhil Beniwal,M,20,C,B.B.A.,2023,2026,Jodhpur,General,Laborer,Homemaker,38.65,40.53,85.05,,8.7,5,No,100000,Partial,3,BBA,1,0,18,8.72,8.62,8.5,8.57,9.1,,,,,,Yellow,Yellow,,0.3162297934763349,False,Yellow
BBA2023C029,Kavita Singh,F,21,C,B.B.A.,2023,2026,Bikaner,EWS,Doctor,Homemaker,50.8,80.6,73.53,,7.47,7,Yes,1800000,Paid,3,BBA,0,1,19,7.16,8.02,7.63,7.18,7.35,,,,,,Orange,Orange,,0.7839244057806606,False,Orange
BBA2023C030,Nikhil Beniwal,M,20,C,B.B.A.,2023,2026,Karauli,OBC,Businessman,Homemaker,25.43,31.55,83.0,,8.0,6,Yes,57189,Partial,3,BBA,1,1,18,8.11,7.46,8.5,7.92,8.03,,,,,,Orange,Orange,,0.5039964451201517,False,Orange
BBA2023C031,Suraj Kothari,M,20,C,B.B.A.,2023,2026,Sumerpur,General,Businessman,Homemaker,40.69,21.63,61.37,,6.85,0,No,1300000,Paid,3,BBA,0,0,18,7.5,6.76,7.61,6.37,6.02,,,,,,Yellow,Yellow,,0.17706092640960233,False,Yellow
BBA2023C032,Vinod Nagar,M,21,C,B.B.A.,2023,2026,Pratapgarh,General,Businessman,Homemaker,45.84,94.45,71.74,,6.84,0,No,2100000,Paid,3,BBA,0,0,19,7.13,5.62,7.85,6.68,6.93,,,,,,Yellow,Yellow,,0.11890733775472928,False,Yellow
BBA2023C033,Seema Rathore,F,22,C,B.B.A.,2023,2026,Sawai Madhopur,OBC,Teacher,Homemaker,40.71,34.49,46.02,,5.72,0,No,400000,Partial,3,BBA,1,0,20,6.19,5.83,5.5,4.54,6.54,,,,,,Orange,Orange,,0.5324447329720965,False,Orange
BBA2023C034,Ashok Kumawat,M,21,C,B.B.A.,2023,2026,Ajmer,General,Farmer,Homemaker,22.83,37.34,54.97,,6.5,0,No,400000,Partial,3,BBA,1,0,19,6.73,7.53,5.94,5.43,6.9,,,,,,Yellow,Yellow,,0.44148727114025793,False,Yellow
BBA2023C035,Nidhi Beniwal,F,20,C,B.B.A.,2023,2026,Ganganagar,General,Laborer,Farmer,89.47,51.09,74.0,,7.75,4,No,200000,Partial,3,BBA,1,0,18,7.33,7.82,8.41,7.67,7.54,,,,,,Orange,Orange,,0.8340101045883674,False,Orange
BBA2023C036,Arjun Sharma,M,20,C,B.B.A.,2023,2026,Devgarh,General,Farmer,Homemaker,25.66,46.28,71.07,,7.43,6,Yes,300000,Partial,3,BBA,1,1,18,7.4,6.28,7.93,7.97,7.58,,,,,,Orange,Orange,,0.6612921897810863,False,Orange
BBA2023C037,Vikas Rathore,M,20,C,B.B.A.,2023,2026,Kota,General,Laborer,Homemaker,39.98,61.22,51.27,,6.13,3,No,300000,Partial,3,BBA,1,0,18,5.17,6.0,6.94,5.74,6.79,,,,,,Orange,Orange,,0.605789145170758,False,Orange
BBA2023C038,Nikhil Beniwal,M,20,C,B.B.A.,2023,2026,Hanumangarh,OBC,Laborer,Farmer,78.81,50.97,74.96,,7.6,5,No,300000,Partial,3,BBA,1,0,18,7.53,7.93,7.25,7.55,7.76,,,,,,Orange,Orange,,0.8351209485306703,False,Orange
BBA2023C039,Deepak Jat,M,19,C,B.B.A.,2023,2026,Udaipur,General,Laborer,Homemaker,67.26,58.35,85.46,,7.7,0,No,100000,Partial,3,BBA,1,0,17,7.48,8.29,6.51,7.77,8.45,,,,,,Green,Green,,0.2577846977936011,False,Green
BBA2023C040,Nisha Malik,F,21,C,B.B.A.,2023,2026,Devgarh,General,Laborer,Homemaker,52.67,88.17,84.88,,8.1,0,No,300000,Partial,3,BBA,1,0,19,8.76,8.38,7.26,8.71,7.41,,,,,,Green,Green,,0.019902194422119233,False,Green
BBA2023D001,Sakshi Bhati,F,20,D,B.B.A.,2023,2026,Pratapgarh,General,Engineer,Homemaker,60.89,42.81,86.72,,7.95,0,No,2000000,Paid,3,BBA,0,0,18,8.57,7.54,7.74,7.63,8.29,,,,,,Green,Green,,0.22039289812835083,False,Green
BBA2023D002,Rohit Singh,M,21,D,B.B.A.,2023,2026,Sumerpur,OBC,Teacher,Homemaker,52.69,63.11,89.8,,8.27,0,No,700000,Paid,3,BBA,0,0,19,8.27,8.69,8.38,7.48,8.55,,,,,,Green,Green,,0.04052788230343371,False,Green
BBA2023D003,Meera Rathore,F,20,D,B.B.A.,2023,2026,Alwar,EWS,Doctor,Homemaker,50.36,65.5,78.54,,7.1,0,No,2300000,Paid,3,BBA,0,0,18,6.66,7.18,7.49,7.45,6.72,,,,,,Yellow,Yellow,,0.327000821800798,False,Yellow
BBA2023D004,Suresh Meghwal,M,21,D,B.B.A.,2023,2026,Udaipur,OBC,Laborer,Homemaker,48.03,16.43,85.02,,8.82,5,No,200000,Partial,3,BBA,1,0,19,8.92,9.09,9.45,8.79,7.86,,,,,,Yellow,Yellow,,0.30923027125942143,False,Yellow
BBA2023D005,Bhavya Soni,F,20,D,B.B.A.,2023,2026,Jodhpur,General,Laborer,Homemaker,56.94,45.92,63.06,,7.05,0,No,100000,Partial,3,BBA,1,0,18,6.54,6.5,7.97,6.71,7.55,,,,,,Yellow,Yellow,,0.22726365738274704,False,Yellow
BBA2023D006,Sapna Jat,F,19,D,B.B.A.,2023,2026,Nathdwara,EWS,Businessman,Homemaker,49.57,87.57,68.98,,7.14,0,No,800000,Paid,3,BBA,0,0,17,7.85,7.25,6.27,7.08,7.23,,,,,,Yellow,Yellow,,0.17703686572499655,False,Yellow
BBA2023D007,Praveen Soni,M,20,D,B.B.A.,2023,2026,Alwar,General,Businessman,Homemaker,78.11,87.83,73.99,,7.54,3,No,1000000,Paid,3,BBA,0,0,18,8.21,7.45,6.71,8.03,7.3,,,,,,Orange,Orange,,0.7390158664480339,False,Orange
BBA2023D008,Ramesh Lodha,M,20,D,B.B.A.,2023,2026,Bikaner,General,Businessman,Homemaker,78.14,52.3,85.67,,7.81,0,No,1300000,Paid,3,BBA,0,0,18,6.61,8.34,8.44,7.63,8.02,,,,,,Green,Green,,0.24134249338147185,False,Green
BBA2023D009,Suresh Meghwal,M,22,D,B.B.A.,2023,2026,Karauli,General,Doctor,Homemaker,23.09,19.5,96.32,,9.0,0,No,66997,Partial,3,BBA,1,0,20,9.17,8.98,7.84,9.5,9.5,,,,,,Green,Green,,0.036343477741973974,False,Green
BBA2023D010,Mamta Singh,F,20,D,B.B.A.,2023,2026,Jaipur,General,Farmer,Teacher,84.34,83.94,61.74,,6.49,1,No,300000,Partial,3,BBA,1,0,18,6.4,5.56,7.17,6.3,7.03,,,,,,Yellow,Yellow,,0.2332638099630012,False,Yellow
BBA2023D011,Vikas Rathore,M,21,D,B.B.A.,2023,2026,Jodhpur,General,Doctor,Farmer,88.53,60.58,93.85,,8.66,0,No,1000000,Paid,3,BBA,0,0,19,9.5,7.7,8.15,8.51,9.41,,,,,,Green,Green,,0.03884269281261761,False,Green
BBA2023D012,Seema Rathore,F,23,D,B.B.A.,2023,2026,Barmer,EWS,Laborer,Homemaker,44.75,46.01,39.38,,5.49,3,No,200000,Partial,3,BBA,1,0,21,7.5,5.51,4.38,5.16,4.9,,,,,,Orange,Orange,,0.6837557268144226,False,Orange
BBA2023D013,Nisha Malik,F,21,D,B.B.A.,2023,2026,Churu,General,Engineer,Homemaker,43.19,38.98,87.83,,8.13,0,No,1500000,Paid,3,BBA,0,0,19,8.7,8.5,7.64,7.77,8.05,,,,,,Green,Green,,0.010784322820037103,False,Green
BBA2023D014,Karan Yadav,M,20,D,B.B.A.,2023,2026,Beawar,General,Businessman,Homemaker,51.67,63.29,79.72,,7.86,0,No,1400000,Paid,3,BBA,0,0,18,7.64,7.76,7.81,8.52,7.55,,,,,,Green,Green,,0.23661121503537322,False,Green
BBA2023D015,Nikhil Beniwal,M,22,D,B.B.A.,2023,2026,Kishangarh,General,Laborer,Homemaker,92.06,48.74,74.63,,7.05,7,Yes,200000,Partial,3,BBA,1,1,20,7.15,6.67,7.34,7.63,6.44,,,,,,Yellow,Yellow,,0.453499981348231,False,Yellow
